KecamatanName,PrabowoHattaVotes,JokowiKallaVotes,TotalVotes
IV JURAI,17408,5299,22707
SUMPUR KUDUS,7899,3756,11655
LENGAYANG,16625,7014,23639
KOTO VII,11768,3037,14805
JUNJUNG SIRI,5220,738,5958
DANAU KEMBAR,7174,746,7920
LEMBANG JAYA,10038,1668,11706
LINTAU BUO UTARA,8652,9698,18350
PAYUNG SEKAKI,3587,572,4159
IV NAGARI,6079,924,7003
PARIANGAN,7683,1711,9394
X KOTO,14816,3437,18253
SUNGAI TARAB,11803,2642,14445
GUNUNG TALANG,19944,3412,23356
TANJUNG EMAS,9512,2338,11850
BATIPUAH SELATAN,5057,822,5879
SUNGAYANG,6180,2312,8492
SALIMPAUANG,8057,1692,9749
LUBUK ALUNG,14807,3443,18250
RAMBATAN,13817,2801,16618
TANJUANG BARU,5799,948,6747
LIMA KAUM,15118,3139,18257
LUBUAK TAROK,4601,2626,7227
SIJUNJUNG,16417,4014,20431
KAMANG BARU,14311,6826,21137
2 X 11 ENAM LINGKUNG,5922,2390,8312
LINTAU BUO,5338,3689,9027
SINTUAK TOBOH GADANG,6880,1660,8540
KUPITAN,4641,1234,5875
PATAMUAN,5676,1688,7364
BATANG ANAI,14936,3786,18722
PADANG GANTING,4988,2093,7081
IV KOTO AUR MALINTANG,6398,1674,8072
V KOTO TIMUR,5615,1130,6745
